Bin,Bin name,Base (Ma),Midpoint (Ma),Occurrences sampled,Mean sampled diversity,3T origination rate,3T extinction rate
49,Cenozoic 6,11.6,5.8,170.0,38.6,NA,NA
48,Cenozoic 5,23.0,17.3,170.0,78.8,-0.137,0.385
47,Cenozoic 4,33.9,28.5,170.0,66.1,0.002,0.005
46,Cenozoic 3,40.4,37.1,170.0,88.2,0.086,-0.002
45,Cenozoic 2,55.8,48.1,170.0,73.9,0.335,0.179
44,Cenozoic 1,66.0,60.9,170.0,70.0,NA,NA
43,Cretaceous 8,70.6,68.3,0.0,NA,NA,NA
42,Cretaceous 7,84.9,77.8,170.0,50.4,NA,NA
41,Cretaceous 6,94.3,89.6,170.0,91.1,0.101,0.273
40,Cretaceous 5,99.7,97.0,170.0,99.4,0.112,0.204
39,Cretaceous 4,112.6,106.2,170.0,85.9,0.812,0.366
38,Cretaceous 3,125.5,119.0,170.0,97.0,0.115,0.702
37,Cretaceous 2,136.4,130.9,170.0,99.0,0.101,0.042
36,Cretaceous 1,145.5,140.9,170.0,73.1,0.230,0.101
35,Jurassic 6,150.8,148.2,170.0,77.1,0.246,0.306
34,Jurassic 5,164.7,157.8,170.0,88.9,0.121,0.053
33,Jurassic 4,171.6,168.1,170.0,74.0,0.097,0.155
32,Jurassic 3,183.0,177.3,170.0,59.4,0.160,-0.195
31,Jurassic 2,189.6,186.3,170.0,54.2,-0.059,0.041
30,Jurassic 1,201.6,195.6,170.0,67.0,-0.060,0.057
29,Triassic 4,221.5,211.6,170.0,67.1,0.295,0.062
28,Triassic 3,235.0,228.2,170.0,65.2,-0.053,0.165
27,Triassic 2,247.2,241.1,170.0,68.0,NA,NA
26,Triassic 1,252.3,249.8,0.0,NA,NA,NA
25,Permian 4,259.0,255.7,170.0,63.8,NA,NA
24,Permian 3,272.5,265.8,170.0,54.4,0.238,0.189
23,Permian 2,290.1,281.3,170.0,65.1,0.605,0.247
22,Permian 1,298.9,294.5,170.0,41.9,0.240,0.090
21,Carboniferous 5,306.9,302.9,170.0,42.6,0.091,0.342
20,Carboniferous 4,318.1,312.5,170.0,51.7,NA,NA
19,Carboniferous 3,336.0,327.1,0.0,NA,NA,NA
