age_ma,diversity
323.2,2
314.9,41
309.45,98
305.3,76
301.2,108
296.8,77
289.5,113
280,153
273.1,113
269.3,78
266.9,101
263.1,72
257.1,84
252.4,84
250.25,58
247.7,63
241.45,75
232.85,117
222.6,102
210.05,107
201.6,129
198.05,142
193.05,169
186.3,155
179.3,192
173.6,182
169.65,198
166.2,194
162.95,195
158.4,209
153.2,303
148.15,281
142.85,279
137.05,285
131.95,312
127.5,297
118.5,364
105.8,344
96.6,324
91.1,318
87.2,312
84.65,356
77.05,358
68.05,353
63.3,351
59.9,350
57.25,365
52.2,402
44.5,419
38.8,423
35.55,431
31.15,573
25.715,600
21.73,611
18.2,614
14.895,614
12.714,614
9.427,615
6.289,618
4.466,619
3.094,620
2.197,625
1.2935,625
0.4535,625
0.06885,625
0.00585,625
