bin_no,bin_name,midpt_ma,CR_div
49,Cenozoic 6,5.8,38.8
48,Cenozoic 5,17.3,78.7
47,Cenozoic 4,28.5,66.5
46,Cenozoic 3,37.1,89.7
45,Cenozoic 2,48.1,72.6
44,Cenozoic 1,60.9,67.3
43,Cretaceous 8,68.3,NA
42,Cretaceous 7,77.8,50.7
41,Cretaceous 6,89.6,92.2
40,Cretaceous 5,97,95.5
39,Cretaceous 4,106.2,83.2
38,Cretaceous 3,119,99
37,Cretaceous 2,130.9,97.9
36,Cretaceous 1,140.9,75
35,Jurassic 6,148.2,77.4
34,Jurassic 5,157.8,89.5
33,Jurassic 4,168.1,75
32,Jurassic 3,177.3,59.9
31,Jurassic 2,186.3,53.4
30,Jurassic 1,195.6,67.3
29,Triassic 4,211.6,68.3
28,Triassic 3,228.2,68.7
27,Triassic 2,241.1,78.7
26,Triassic 1,249.8,NA
25,Permian 4,255.7,63.3
24,Permian 3,265.8,54.9
23,Permian 2,281.3,68.4
22,Permian 1,294.5,41.9
21,Carboniferous 5,302.9,43.6
20,Carboniferous 4,312.5,52
19,Carboniferous 3,327.1,NA
