bin_no,bin_name,midpt_ma,SQS_rich
49,Cenozoic 6,5.8,12.6
48,Cenozoic 5,17.3,49.4
47,Cenozoic 4,28.5,52.9
46,Cenozoic 3,37.1,60.9
45,Cenozoic 2,48.1,46.4
44,Cenozoic 1,60.9,36.3
43,Cretaceous 8,68.3,NA
42,Cretaceous 7,77.8,7.6
41,Cretaceous 6,89.6,53.3
40,Cretaceous 5,97,NA
39,Cretaceous 4,106.2,NA
38,Cretaceous 3,119,113.6
37,Cretaceous 2,130.9,109
36,Cretaceous 1,140.9,55.5
35,Jurassic 6,148.2,53.3
34,Jurassic 5,157.8,85
33,Jurassic 4,168.1,49.8
32,Jurassic 3,177.3,37.4
31,Jurassic 2,186.3,30.5
30,Jurassic 1,195.6,47.9
29,Triassic 4,211.6,48.4
28,Triassic 3,228.2,42.8
27,Triassic 2,241.1,62.4
26,Triassic 1,249.8,NA
25,Permian 4,255.7,43.3
24,Permian 3,265.8,31.2
23,Permian 2,281.3,46.8
22,Permian 1,294.5,22
21,Carboniferous 5,302.9,29.2
20,Carboniferous 4,312.5,34
19,Carboniferous 3,327.1,NA
