bin_no,bin_name,midpt_ma,SIB_div,RT_div
49,Cenozoic 6,5.8,190,190
48,Cenozoic 5,17.3,293,349
47,Cenozoic 4,28.5,230,370
46,Cenozoic 3,37.1,488,534
45,Cenozoic 2,48.1,256,413
44,Cenozoic 1,60.9,78,323
43,Cretaceous 8,68.3,8,301
42,Cretaceous 7,77.8,70,315
41,Cretaceous 6,89.6,155,350
40,Cretaceous 5,97,162,357
39,Cretaceous 4,106.2,88,313
38,Cretaceous 3,119,374,448
37,Cretaceous 2,130.9,253,357
36,Cretaceous 1,140.9,93,273
35,Jurassic 6,148.2,159,280
34,Jurassic 5,157.8,283,319
33,Jurassic 4,168.1,80,179
32,Jurassic 3,177.3,132,186
31,Jurassic 2,186.3,57,149
30,Jurassic 1,195.6,98,156
29,Triassic 4,211.6,69,121
28,Triassic 3,228.2,139,164
27,Triassic 2,241.1,81,124
26,Triassic 1,249.8,12,73
25,Permian 4,255.7,112,131
24,Permian 3,265.8,122,144
23,Permian 2,281.3,159,164
22,Permian 1,294.5,63,86
21,Carboniferous 5,302.9,97,107
20,Carboniferous 4,312.5,111,111
19,Carboniferous 3,327.1,1,1
